USER,DATE,STAR,LIKE,TITLE,REVIEW
Hyunji Minsung,2023-06-02 03:52:51-07:00,5,1,믿고삽니다,아니 가격이 너무 착해서 가품으로 의심이 갈때도 있어요...근데 받고 감정까지 받아보면 늘 정품이더라구여. 이제 그냥 믿고 삽니다.
Sungryung Lee 87,2023-05-31 03:34:45-07:00,5,1,실시간 랭킹,"실시간으로 머가 잘 나가나 랭킹 확인 가능하니 어떤게 트렌디한지, 어떤게 저렴한지 파악하기가 쉬워요 ㅋㅋㅋ 명품 잘 몰라서 랭킹 손민수 하는 중 ㅠ"
Eunjung DJ,2023-05-31 03:34:34-07:00,5,1,추천 태그 좋아요,명품 처음 입문하는데 추천 태그 상품으로 입문자추천 태그가 있더라구요 ㅋㅋㅋ 도움 받아서 잘 구매했어요!! 태그검색이 되니까 좋네요.
Hyejin Seungho,2023-05-31 03:34:33-07:00,5,1,편해요,"남성, 여성 카테고리 선택해서 진입할 수 있어서 원하는 상품 찾기가 쉽네요. 선물 찾기에도 용이함"
Jo Jinm,2023-05-31 03:34:31-07:00,5,1,상품 다양하고 저렴,찾는 상품이 발란에만 있을 때가 많더라구요! 월간 쿠폰팩은 매달 주니까 쿠폰 할인 받으면 저렴하기도 하고 ㅋㅋ 좋네요
Youngsoo Daesun,2023-05-31 03:34:29-07:00,5,1,검색 기능 좋음,"검색을 브랜드별, 상품, 가격, 색상 등 세분화해서 검색 할 수 있다보니 원하는 상품 찾기가 편리합니다"
Jinwookim Sungjin,2023-05-31 03:34:27-07:00,5,1,매장 픽업 좋아요,오프라인 매장 픽업 가능한 상품은 배송 기다릴 필요 없이 여의도 방문해서 당일에도 픽업 가능해요~~ 매장 픽업 상품 더 늘어나면 좋겠네요 ㅋㅋㅋ
Hgwak Kwangsoo,2023-05-31 03:34:26-07:00,5,1,당일배송 ㄷㄷ,오늘도착 말만 그런 줄 알았는데 진짜 당일배송 되네요!! 급했는데 넘넘 감사해요 ㅠㅠ
Cjang Yuri,2023-05-31 03:34:24-07:00,5,1,리뷰 잘 안 쓰는데,요즘 넘 잘 쓰고 있어서 리뷰 남가요 ㅋㅋㅋ 시간 가는 줄 모르고 발란 보고 있어요.. 퍼스널쇼퍼 기능도 있고.. 빠져 나올 수 없어..
Jumyoung Sunghun,2023-05-31 03:34:21-07:00,5,1,굿굿,사이트 평이 좋으니 신뢰가 가더라구여! 실제로 구매해보니 안전하기도 하고 브랜드도 다양하고 좋아요
Ryankim Mincheol,2023-05-31 03:34:19-07:00,5,1,면세 쇼핑보다 편해요,가격 자체에 관부가세 포함 되어있어서 직구보다 편하고 집에서 구매해도 되니 면세점 가는것 보다 낫습니다. 잘 쓰고 있어요~~
Minhyoung Younghwa,2023-05-30 07:24:54-07:00,5,1,적립금 꿀,발란 앱 자체에서 적립도 되고 네페 적립까지 되니 적립금이 따따블
Gjeon Jungshik,2023-05-30 07:24:47-07:00,5,1,앱이 깔끔함,디자인이나 ui가독성이 좋고 오류도 타앱들보다 적어서 쓰기 편해여
Sungmi Sungho,2023-05-30 07:24:45-07:00,5,0,칭찬 받았습니다.,와이프 선물 골라 줬더니 칭찬 받았습니다. 저렴하게 잘 샀어요. 또 이용 할게요.
Skwon Siwoo,2023-05-30 07:24:44-07:00,5,1,검수 영상 감동..,물건 사면 검수하는 영상 찍어 보내주니까 좀 더 안심하고 살 수 있더라구요. 감사합니다.
Kwak Gang,2023-05-30 07:24:42-07:00,5,1,좋당,월간 쿠폰팩 있어서 많이 저렴해요~
Subin Leina,2023-05-30 07:24:40-07:00,5,1,텅장 유발,기획전도 다양하게 해서 맨날 발란보느라 시간 가는 줄 모름 ㅋㅋㅋㅋ
Go Minhwan,2023-05-30 07:24:38-07:00,5,1,배송 빠름,배송 빠르고 정품 검수 진행해서 보내주니 안심 됨
Taehee Subin,2023-05-30 07:24:36-07:00,5,1,잘 쓰고 있어요,다양한 브랜드의 다양한 물건들 저렴하게 구매할 수 있어서 좋습니다.
Juyeon Sangsoo,2023-05-30 07:21:08-07:00,5,1,짱~,대부분 명품 구매 가능 하네요~
루원시티,2023-05-29 15:56:40-07:00,5,1,첫 구매인데 만족해요,앞으로 자주 들려 구매할듯 합니다.
Sieun Juwon,2023-05-29 07:21:45-07:00,5,1,리뷰란 정보 좋아요,리뷰 관리가 잘되어있어서 정보 공유가 잘되는듯 합니다.
Jaehyuk Bae,2023-05-29 07:21:43-07:00,5,1,프로모션 좋아요,시즌마다 프로모션이 있는데 잘 이용하면 정말 싸게 잘 살수 있습니다
Belle Kimm,2023-05-29 07:21:41-07:00,5,1,친절한 고객센터,CS응대가 너무 좋았어요 다시 명품을 사게 되면 발란에서 살듯합니다
Minjun Jiyeon,2023-05-29 07:21:39-07:00,5,1,부모님 선물 구매,처음으로 부모님께 명품 사드렸습니다. 100% 정품보장이라 더욱 고민없이 사드렸어요
Qjeon Mijung,2023-05-29 07:21:37-07:00,5,1,믿고 살 수 있습니다.,가품 걱정이 직구앱 사용하면서 항상 있었는데 발란에선 이런 걱정 없이 살 수 있습니다.
Hyejin Suwon,2023-05-29 07:21:36-07:00,5,1,배송 좋아요,배송이 이렇게 빠른건 직구앱 이용하면서는 처음이었던듯합니다
Jungsoo Eunseo,2023-05-29 07:18:02-07:00,5,0,직구앱중에 가장 좋아요,다른 직구앱 이용하면서 기분이 많이 상했었는데 발란 이용하면서 불편한점 하나도 없었습니다
